anno	geneIDs	geneNames
536	ALDH1A1|216	216	ALDH1A1
537	ALDH1A2|8854	8854	ALDH1A2
538	ALDH1A3|220	220	ALDH1A3
539	ALDH1B1|219	219	ALDH1B1
540	ALDH1L1|10840	10840	ALDH1L1
541	ALDH1L2|160428	160428	ALDH1L2
542	ALDH2|217	217	ALDH2
543	ALDH3A1|218	218	ALDH3A1
544	ALDH3A2|224	224	ALDH3A2
545	ALDH3B1|221	221	ALDH3B1
546	ALDH3B2|222	222	ALDH3B2
547	ALDH4A1|8659	8659	ALDH4A1
548	ALDH5A1|7915	7915	ALDH5A1
549	ALDH6A1|4329	4329	ALDH6A1
550	ALDH7A1|501	501	ALDH7A1
551	ALDH8A1|64577	64577	ALDH8A1
552	ALDH9A1|223	223	ALDH9A1
553	ALDOA|226	226	ALDOA
554	ALDOB|229	229	ALDOB
555	ALDOC|230	230	ALDOC
556	ALG10B|144245	144245	ALG10B
557	ALG10|84920	84920	ALG10
558	ALG11|440138	440138	ALG11
559	ALG12|79087	79087	ALG12
560	ALG13|79868	79868	ALG13
561	ALG14|199857	199857	ALG14
562	ALG1L2|644974	644974	ALG1L2
563	ALG1L|200810	200810	ALG1L
564	ALG1|56052	56052	ALG1
565	ALG2|85365	85365	ALG2
566	ALG3|10195	10195	ALG3
567	ALG5|29880	29880	ALG5
568	ALG6|29929	29929	ALG6
569	ALG8|79053	79053	ALG8
570	ALG9|79796	79796	ALG9
571	ALKBH1|8846	8846	ALKBH1
572	ALKBH2|121642	121642	ALKBH2
573	ALKBH3|221120	221120	ALKBH3
574	ALKBH4|54784	54784	ALKBH4
575	ALKBH5|54890	54890	ALKBH5
576	ALKBH6|84964	84964	ALKBH6
577	ALKBH7|84266	84266	ALKBH7
578	ALKBH8|91801	91801	ALKBH8
579	ALK|238	238	ALK
580	ALLC|55821	55821	ALLC
581	ALMS1P|200420	200420	ALMS1P
582	ALMS1|7840	7840	ALMS1
583	ALOX12B|242	242	ALOX12B
584	ALOX12P2|245	245	ALOX12P2
585	ALOX12|239	239	ALOX12
586	ALOX15B|247	247	ALOX15B
587	ALOX15|246	246	ALOX15
588	ALOX5AP|241	241	ALOX5AP
589	ALOX5|240	240	ALOX5
590	ALOXE3|59344	59344	ALOXE3
591	ALPI|248	248	ALPI
592	ALPK1|80216	80216	ALPK1
593	ALPK2|115701	115701	ALPK2
594	ALPK3|57538	57538	ALPK3
595	ALPL|249	249	ALPL
596	ALPPL2|251	251	ALPPL2
597	ALPP|250	250	ALPP
598	ALS2CL|259173	259173	ALS2CL
599	ALS2CR11|151254	151254	ALS2CR11
600	ALS2CR12|130540	130540	ALS2CR12
601	ALS2CR4|65062	65062	ALS2CR4
602	ALS2CR8|79800	79800	ALS2CR8
603	ALS2|57679	57679	ALS2
604	ALX1|8092	8092	ALX1
605	ALX3|257	257	ALX3
606	ALX4|60529	60529	ALX4
607	AMAC1L2|83650	83650	AMAC1L2
608	AMAC1L3|643664	643664	AMAC1L3
609	AMAC1|146861	146861	AMAC1
610	AMACR|23600	23600	AMACR
611	AMBN|258	258	AMBN
612	AMBP|259	259	AMBP
613	AMBRA1|55626	55626	AMBRA1
614	AMD1|262	262	AMD1
615	AMDHD1|144193	144193	AMDHD1
616	AMDHD2|51005	51005	AMDHD2
617	AMELX|265	265	AMELX
618	AMELY|266	266	AMELY
619	AMFR|267	267	AMFR
620	AMHR2|269	269	AMHR2
621	AMH|268	268	AMH
622	AMICA1|120425	120425	AMICA1
623	AMIGO1|57463	57463	AMIGO1
624	AMIGO2|347902	347902	AMIGO2
625	AMIGO3|386724	386724	AMIGO3
626	AMMECR1L|83607	83607	AMMECR1L
627	AMMECR1|9949	9949	AMMECR1
628	AMN1|196394	196394	AMN1
629	AMN|81693	81693	AMN
630	AMOTL1|154810	154810	AMOTL1
631	AMOTL2|51421	51421	AMOTL2
632	AMOT|154796	154796	AMOT
633	AMPD1|270	270	AMPD1
634	AMPD2|271	271	AMPD2
635	AMPD3|272	272	AMPD3
636	AMPH|273	273	AMPH
637	AMTN|401138	401138	AMTN
638	AMT|275	275	AMT
639	AMY1A|276	276	AMY1A
640	AMY2A|279	279	AMY2A
641	AMY2B|280	280	AMY2B
642	AMZ1|155185	155185	AMZ1
643	AMZ2P1|201283	201283	AMZ2P1
644	AMZ2|51321	51321	AMZ2
645	ANAPC10|10393	10393	ANAPC10
646	ANAPC11|51529	51529	ANAPC11
647	ANAPC13|25847	25847	ANAPC13
648	ANAPC16|119504	119504	ANAPC16
649	ANAPC1|64682	64682	ANAPC1
650	ANAPC2|29882	29882	ANAPC2
651	ANAPC4|29945	29945	ANAPC4
652	ANAPC5|51433	51433	ANAPC5
653	ANAPC7|51434	51434	ANAPC7
654	ANGEL1|23357	23357	ANGEL1
655	ANGEL2|90806	90806	ANGEL2
656	ANGPT1|284	284	ANGPT1
657	ANGPT2|285	285	ANGPT2
658	ANGPT4|51378	51378	ANGPT4
659	ANGPTL1|9068	9068	ANGPTL1
660	ANGPTL2|23452	23452	ANGPTL2
661	ANGPTL3|27329	27329	ANGPTL3
